entity_id,name
1,Head Office
3,Mandaveli Depot
4,Adyar Depot
5,Adambakkam Depot
6,T.Nagar Depot
7,Thiruvanmiyur Depot
8,Alandur Depot
9,Saidapet Depot
10,Ambattur Depot
11,Anna Nagar Depot
12,Avadi Depot
13,Ayanavaram Depot
14,Basin Bridge Depot
15,Chrompet -I Depot
16,Chrompet -II Depot
17,Ennore Depot
18,Iyyapanthangal Depot
19,K.K. Nagar Depot
20,Kannagi Nagar Depot
21,Kilambakkam Depot
22,Kundrathur Depot
23,Madhavaram Depot
24,Padiyanallur Depot
25,Perambur Depot
26,Perumbakkam Depot
27,Poonamallee Depot
28,Tambaram Depot
29,Thiruvottiyur Depot
30,Tondiarpet-1 Depot
31,Tondiarpet-2 Depot
32,Vadapalani Depot
33,Vysarpadi Depot
34,Anna Nagar East Depot
35,Semmenchery Depot
